Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Change (%)
Bitcoin,btc,94362,1866197094561,83354427840,1.72494
Ethereum,eth,3088.36,371833110795,32070137994,-1.01901
Tether,usdt,1.003,129062699749,77840800056,0.31401
Solana,sol,234.78,111366905935,9027301697,-2.94863
BNB,bnb,609.88,88905979191,1581595209,-0.87303
XRP,xrp,1.097,62452830787,7224867622,0.01447
Dogecoin,doge,0.378721,55614164921,12623989357,-5.21349
USDC,usdc,1.001,37690140353,9197571578,0.16618
Lido Staked Ether,steth,3087.27,30172288604,94221684,-1.02807
Cardano,ada,0.823122,29447615377,4155524136,12.41036
TRON,trx,0.196755,16982127121,854908085,-2.90758
Shiba Inu,shib,0.00002402,14138231807,1768341241,-5.58057
Avalanche,avax,34.03,13923692066,730721512,-1.32317
Wrapped Bitcoin,wbtc,94047,13748518593,687435445,1.65305
Toncoin,ton,5.28,13447091187,379326383,-4.04888
Wrapped stETH,wsteth,3658.93,13271648706,69103488,-0.87869
Sui,sui,3.64,10374055473,2078324689,-2.79337
Chainlink,link,14.55,9121644984,1009819629,-1.18093
WETH,weth,3085.03,9053639705,1261871533,-1.16543
Bitcoin Cash,bch,442.35,8750302989,423121925,-1.36517
Polkadot,dot,5.75,8280959045,668858992,-1.03799
Pepe,pepe,0.00001914,8047070738,5492459187,-6.46915
LEO Token,leo,8.48,7839387398,4277003,7.37107
Stellar,xlm,0.24622,7374154141,1626360573,6.10745
NEAR Protocol,near,5.56,6770321824,697027365,-4.28341
Litecoin,ltc,84.88,6380932216,935442380,-2.31341
Aptos,apt,11.91,6353478214,1243337933,1.20949
Wrapped eETH,weeth,3247.69,5563149843,11185185,-1.27891
USDS,usds,1.002,5314780132,5143787,0.19188
Uniswap,uni,8.83,5300178953,421830819,-6.55018
Cronos,cro,0.177807,4830612943,188047600,5.46817
Hedera,hbar,0.122657,4626100974,1007385415,-10.28383
Internet Computer,icp,9.16,4349964163,212171127,-1.30891
Render,render,7.75,4011785986,450644303,-3.5232
Kaspa,kas,0.157122,3968769225,153344329,-4.30715
Ethereum Classic,etc,25.67,3840312519,335661767,-2.23397
Bonk,bonk,0.00005094,3831489259,3290506476,-6.24247
POL (ex-MATIC),pol,0.444984,3548664801,404714488,1.33356
Ethena USDe,usde,1.003,3536023716,270142493,0.09239
Bittensor,tao,468.42,3452717728,237853950,-3.44676
WhiteBIT Coin,wbt,23.96,3451841519,33478305,4.21511
Dai,dai,1.003,3447112287,176573237,0.50815
MANTRA,om,3.73,3362133134,314633133,-11.68755
Artificial Superintelligence Alliance,fet,1.27,3304898130,393278521,-3.63576
dogwifhat,wif,3.12,3115891029,1010272406,-11.07154
Monero,xmr,160.61,2960917982,97716241,-0.06807
Stacks,stx,1.86,2793212041,221905413,-3.71115
Arbitrum,arb,0.677669,2775098432,616233392,-2.53148
OKB,okb,43.84,2629470501,6252652,-0.69716
VeChain,vet,0.0319746,2587875349,109086481,-5.43495
